Day,Country_A,Country_B,Country_C,Country_D,Country_E
1,1,1,1,1,1
2,0,2,0,0,0
3,0,0,2,0,3
4,1,1,0,0,0
5,0,2,8,0,3
6,0,0,6,2,2
7,3,2,4,0,2
8,1,2,8,1,4
9,3,3,24,2,17
10,5,2,19,1,13
11,9,1,21,1,19
12,6,3,28,2,26
13,8,6,50,2,40
14,10,7,64,3,47
15,15,8,76,1,46
16,11,9,128,11,71
17,29,15,148,3,92
18,34,14,166,12,103
19,32,17,206,8,136
20,42,28,289,12,168
21,49,30,303,14,147
22,52,44,298,13,178
23,62,38,263,19,165
24,67,41,277,20,147
25,67,39,269,20,147
26,66,39,260,11,142
27,78,39,255,17,130
28,62,61,244,13,123
29,58,52,245,16,117
30,66,52,265,10,120
31,72,38,235,13,134
32,51,33,236,5,121
33,68,46,228,12,128
34,45,35,196,7,108
35,41,37,191,11,108
36,55,35,181,10,117
37,39,32,195,6,100
38,39,21,195,6,98
39,44,20,188,6,93
40,34,29,169,9,84
41,37,18,188,4,102
42,30,29,163,0,83
43,38,21,175,6,90
44,27,10,168,9,73
45,30,20,150,7,89
46,42,26,0,7,75
47,31,14,0,9,66
48,34,11,0,3,75
49,20,14,0,0,84
50,16,20,0,0,86
51,19,0,0,0,0
52,25,0,0,0,0
53,29,0,0,0,0
54,19,0,0,0,0
55,18,0,0,0,0
